06/11/2016,7:16,,,,,,2 AVENUE                        ,QUEENSBORO BRIDGE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3460198,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/10/2016,0:00,,,,,,VERRAZANO BRIDGE                ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3461774,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/10/2016,11:00,QUEENS,11378,,,,GRAND AVENUE                    ,57 DRIVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459493,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2020,7:56,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4305034,Sedan,,,,
07/30/2018,17:13,QUEENS,11367,,,,JEWEL AVENUE                    ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,,,,,,4056107,,,,,
01/31/2014,14:10,,,40.8264543,-73.8553285,POINT (-73.8553285 40.8264543),,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2889433,VAN,PASSENGER VEHICLE,,,
06/10/2016,14:45,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3460266,PASSENGER VEHICLE,,,,
01/31/2014,14:20,,,,,,,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,2976661,VAN,PASSENGER VEHICLE,,,
07/30/2018,21:14,,,40.736732,-73.85451,POINT (-73.85451 40.736732),LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3951337,Taxi,Taxi,Taxi,,
06/10/2016,16:00,,,,,,STATEN ISLAND EXPY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3461768,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/10/2016,16:40,,,,,,STATEN ISLAND EXPY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3463144,PASSENGER VEHICLE,VAN,,,
07/30/2018,3:00,,,,,,,,,0,0,0,0,0,0,0,0,Animals Action,,,,,3952233,Station Wagon/Sport Utility Vehicle,,,,
01/31/2014,17:50,,,,,,,,PARKING GARAGE 88-11 165 ST             ,0,0,0,0,0,0,0,0,Unspecified,,,,,212877,PASSENGER VEHICLE,,,,
07/30/2018,8:15,,,,,,WEST 63 STREET                  ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3954249,Sedan,,,,
03/30/2020,6:26,,,,,,VERRAZANO BRIDGE UPPER          ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4305065,Sedan,,,,
06/10/2016,18:28,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3460264,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
03/29/2020,12:30,,,,,,NASSAU EXPRESSWAY               ,,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4304458,Sedan,,,,
01/31/2014,22:08,,,,,,,,800 BANKS ST (PARKING LOT)              ,2,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,147275,SPORT UTILITY / STATION WAGON,,,,
03/29/2020,20:59,,,,,,grand central parkway service ro,81 avenue,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4304607,Sedan,,,,
01/31/2014,2:35,,,,,,,,REAR OF 74 TILLER COURT                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,303977,PASSENGER VEHICLE,,,,
07/29/2018,17:10,QUEENS,11109,,,,47 ROAD                         ,CENTER BOULEVARD,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3950496,Station Wagon/Sport Utility Vehicle,,,,
03/27/2020,0:00,,,40.875122,-73.905174,POINT (-73.905174 40.875122),MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4304452,Sedan,,,,
07/29/2018,18:50,,,,,,GRANT CIRCLE                    ,EAST 177 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3950356,Pick-up Truck,Sedan,,,
06/10/2016,9:15,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3465088,PASSENGER VEHICLE,,,,
